IMDB_id,TMDB_id,Title,year,duration,Rating,Votes,Genres,Overview
,348,Alien,1979,117,8.2,13835,"Horror, Science Fiction","During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed."
,597,Titanic,1997,194,7.9,24547,"Drama, Romance","101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912."
,1014590,Upgraded,2024,105,7.3,605,"Romance, Comedy","Ana is an ambitious intern dreaming of a career in the art world while trying to impress her demanding boss Claire. When she's upgraded to first class on a work trip, she meets handsome Will, who mistakes Ana for her boss– a white lie that sets off a glamorous chain of events, romance and opportunity, until her fib threatens to surface."
tt20115766,,Knox Goes Away,2023,114,6.9,4100,Thriller,"When a contract killer has a rapidly evolving form of dementia, he is offered an opportunity to redeem himself by saving the life of his estranged adult son."
,577922,Tenet,2020,150,7.2,9296,"Action, Thriller, Science Fiction","Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time."
,299537,Captain Marvel,2019,124,6.8,15203,"Action, Adventure, Science Fiction","The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe."
,424139,Halloween,2018,106,6.6,4510,"Horror, Thriller","Laurie Strode comes to her final confrontation with Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago."
tt21279806,,Scoop,2024,102,6.6,10000,"Biography, Drama",How the BBC obtained the bombshell interview with Prince Andrew about his friendship with convicted sex offender Jeffrey Epstein.
tt27503384,976893,Perfect Days,2023,124,7.9,33678,"Drama, Drama","Hirayama cleans public toilets in Tokyo, lives his life in simplicity and daily tranquility. Some encounters also lead him to reflect on himself."
,8966,Twilight,2008,122,6.3,13064,"Fantasy, Drama, Romance","When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't stay away from him, a fatal move that endangers her own life."
tt12349832,,Cuckoo,2024,102,5.7,364,"Horror, Mystery, Thriller",A 17-year old girl is forced to move with her family to a resort where things are not what they seem.
,1211483,Skal - Fight for Survival,2023,77,5.3,59,"Action, Horror, Comedy, Thriller","My name's Arthur, a huge Internet star who's just hit 3 million subs. While in the midst of throwing an epic party to celebrate, the universe had the balls to bring on the effing apocalypse and cut my night short. What was supposed to be a perfect hangover, has turned into an epic fight for survival."
,683361,Super Furball Saves the Future,2022,90,6.5,4,"Family, Adventure","To save the world, Super Furball has to save the bees. In order to do that, the heroic guinea pig has to save the biggest bully in school."
,111,Scarface,1983,169,8.2,11299,"Action, Crime, Drama","After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall."
,119450,Dawn of the Planet of the Apes,2014,130,7.3,10710,"Science Fiction, Action, Drama, Thriller","A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes."
,677179,Creed III,2023,116,7.1,2320,"Drama, Action","After dominating the boxing world, Adonis Creed has thrived in his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter with nothing to lose."
,674,Harry Potter and the Goblet of Fire,2005,157,7.8,20023,"Adventure, Fantasy","When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named."
,36647,Blade,1998,121,6.8,5708,"Horror, Action","\The Daywalker known as \""\""Blade\""\"" - a half-vampire"""
,784651,Fighter,2024,167,5.5,38,"Action, Thriller, War","Top IAF aviators come together in the face of imminent danger, to form Air Dragons. Fighter unfolds their camaraderie, brotherhood and battles, internal and external."
,1096197,No Way Up,2024,90,6.4,387,"Action, Horror, Thriller",Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.
tt27489557,1111873,Abigail,2024,109,6.9,1020,"Horror, Thriller, Horror, Thriller","After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
tt14998742,848326,Rebel Moon - Part One: A Child of Fire,2023,133,6,108679,"Action, Adventure, Drama, Science Fiction, Drama, Action","When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival."
,897087,Freelance,2023,108,6.6,725,"Action, Comedy","An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but a military coup breaks out in the middle of the interview, they are forced to escape into the jungle where they must survive."
,297762,Wonder Woman,2017,141,7.2,19444,"Action, Adventure, Fantasy",An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.
,893334,The Adventures of Maid Marian,2022,82,5.2,16,"Adventure, Action","Everyone knows the stories of Robin Hood and Maid Marian, but this the story of what happens next. Out of the shadows, a legend returns to save her people from the tyranny of the disgraced Sheriff of Nottingham. Robin Hood remains at war and Marian must put her own combat skills to the test, creating a new tale that will be heralded throughout the ages."
tt20234774,,Wicked Little Letters,2023,100,7,8300,"Comedy, Crime, Drama","When people in Littlehampton--including conservative local Edith--begin to receive letters full of hilarious profanities, rowdy Irish migrant Rose is charged with the crime. Suspecting that something is amiss, the town's women investigate."
,1094556,The Thundermans Return,2024,70,7.6,101,"Family, Science Fiction, Action, Comedy","Twins Phoebe and Max are enjoying their superhero lifestyle, but when one 'save' goes awry, the Thundermans are sent back to Hiddenville. While Hank and Barb enjoy their return, and Billy and Nora look forward to a normal high school life, Max and Phoebe are determined to regain their superhero status."
,734002,The Peasants,2023,115,7.8,59,"Animation, Drama, History","Peasant girl Jagna is forced to marry the much older, wealthy farmer Boryna, despite her love for his son Antek. With time, Jagna becomes the object of envy and disdain with the villagers and she must fight to preserve her independence."
tt21383812,,Crew,2024,118,7.7,25000,"Comedy, Drama",Follows three hard-working women as their destinies lead to some unwarranted situations and they end up caught in a web of lies.
,476669,The King's Man,2021,131,6.8,4223,"Action, Comedy, Adventure, Thriller","As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them."
,425,Ice Age,2002,81,7.4,12763,"Animation, Comedy, Family, Adventure","With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims."
,293660,Deadpool,2016,108,7.6,29760,"Action, Adventure, Comedy","The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life."
,508947,Turning Red,2022,100,7.4,4900,"Animation, Family, Comedy, Fantasy","Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda."
tt0116483,,Happy Gilmore,1996,92,7,248000,"Comedy, Sport","After his grandmothers house is repossessed by the IRS, bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back."
,1192209,Noah's Ark,2024,96,7.1,44,"Animation, Music, Comedy","A pair of mice attempt to board Noah's Ark: Vini, a charismatic poet with terrible stage fright, and Tito, a talented and charming guitarist. When the rains come, only one male and one female of each species is allowed on Noah's Ark. With the help of an ingenious cockroach and fate's good luck, Vini and Tito sneak their way onto the Ark and together avert a showdown among the ships carnivores and plant eaters. All the while, the animals perform a series of classic songs inspired by world renowned poet, Vinicius de Moraes. Can these talented stowaways use music to break the tension and help these cooped up creatures survive the 40 days and 40 nights together?"
,766507,Prey,2022,100,7.7,6262,"Thriller, Action, Science Fiction","When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal."
,653346,Kingdom of the Planet of the Apes,2024,145,0,0,"Science Fiction, Adventure, Action","Several generations in the future following Caesar's reign, apes are now the dominant species and live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all that he has known about the past and to make choices that will define a future for apes and humans alike."
,1227816,Red Right Hand,2024,111,7.3,83,"Crime, Action, Thriller","Cash is trying to live a quiet, honest life in a small Appalachian town. When a vicious crime boss forces him back into her services, he soon learns he's capable of anything -- even killing -- to protect his family and his home."
,1125311,Imaginary,2024,104,6.3,228,"Horror, Mystery, Thriller","When Jessica moves back into her childhood home with her family, her youngest stepdaughter Alice develops an eerie attachment to a stuffed bear named Chauncey she finds in the basement. Alice starts playing games with Chauncey that begin playful and become increasingly sinister. As Alice’s behavior becomes more and more concerning, Jessica intervenes only to realize Chauncey is much more than the stuffed toy bear she believed him to be."
,603,The Matrix,1999,136,8.2,24757,"Action, Science Fiction","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth."
tt16156616,1017633,How to Date Billy Walsh,2024,98,5.7,2052,"Comedy, Romance, Romance, Comedy","Follows a pair of childhood friends: Amelia and Archie. Archie has always kept his love for her a secret, but just as he builds up the courage to declare his feelings, Amelia falls for Billy Walsh, the new transfer student."
,496450,"Miraculous: Ladybug & Cat Noir, The Movie",2023,107,7.7,792,"Animation, Fantasy, Action, Romance, Family","After a guardian of magical jewels turns an awkward girl and a popular boy into superheroes, they can never reveal their identities — even to each other."
tt23561236,,American Fiction,2023,117,7.5,73000,"Comedy, Drama",A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to disdain.
,12,Finding Nemo,2003,100,7.8,18649,"Animation, Family","Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way."
,926393,The Equalizer 3,2023,109,7.4,2540,"Action, Thriller, Crime","Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia."
tt0058659,,The Time Travelers,1964,84,5.2,3200,Sci-Fi,"In 1964, a group of scientists create a portal that takes them to a barren, mutant inhabited, Earth in the year 2071."
tt21692408,1011985,Kung Fu Panda 4,2024,94,6.8,28167,"Animation, Action, Adventure, Animation, Action, Family, Comedy, Fantasy","After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm."
,385687,Fast X,2023,142,7.1,5055,"Action, Crime, Thriller","Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever."
tt4972582,,Split,2016,117,7.3,552000,"Horror, Thriller",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
,246655,X-Men: Apocalypse,2016,144,6.5,12562,"Action, Adventure, Science Fiction, Fantasy","After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan."
,672,Harry Potter and the Chamber of Secrets,2002,161,7.7,21230,"Adventure, Fantasy","Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage."
,299536,Avengers: Infinity War,2018,149,8.2,28777,"Adventure, Action, Science Fiction","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain."
,124905,Godzilla,2014,123,6.3,8781,"Action, Drama, Science Fiction","Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco."
tt0111161,278,The Shawshank Redemption,1994,142,9,2926018,"Drama, Drama, Crime","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
,667538,Transformers: Rise of the Beasts,2023,127,7.3,4204,"Action, Adventure, Science Fiction","When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth."
,526896,Morbius,2022,105,6,4033,"Action, Science Fiction, Fantasy","Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease."
,675,Harry Potter and the Order of the Phoenix,2007,138,7.7,18845,"Adventure, Fantasy","Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students to defend themselves against the dark arts."
,944401,Dogman,2023,115,7.8,704,"Action, Drama, Crime","A boy, bruised by life, finds his salvation through the love of his dogs."
tt0098206,,Road House,1989,114,6.7,99000,"Action, Thriller","A bouncer hired to clean up the baddest honkytonk in a Missouri town. Armed with a black belt in karate and a degree in philosophy, Patrick Swayze sets out to tame the Double Deuce for its owner."
,354912,Coco,2017,105,8.2,18717,"Family, Animation, Music, Adventure","Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history."
